dataset,vocab,vocab_size,max_train_size,max_valid_size,max_test_size,truncation needed
NL-100,Vocabularies/NELL-995_all/NL-100/KG-custom/VandR/ascending_size_vocab.pkl,1,21,20,19,False
NL-100,Vocabularies/NELL-995_all/NL-100/KG-custom/VandR/ascending_size_vocab.pkl,2,19,17,17,False
NL-100,Vocabularies/NELL-995_all/NL-100/KG-custom/VandR/ascending_size_vocab.pkl,4,16,17,17,True
NL-100,Vocabularies/NELL-995_all/NL-100/KG-custom/VandR/default_vocab.pkl,1,21,19,18,False
NL-100,Vocabularies/NELL-995_all/NL-100/KG-custom/VandR/default_vocab.pkl,2,18,18,17,False
NL-100,Vocabularies/NELL-995_all/NL-100/KG-custom/VandR/default_vocab.pkl,4,16,18,17,True
NL-100,Vocabularies/NELL-995_all/NL-100/KG-custom/E/descending_size_vocab.pkl,1,27,22,20,False
NL-100,Vocabularies/NELL-995_all/NL-100/KG-custom/E/descending_size_vocab.pkl,2,20,18,18,False
NL-100,Vocabularies/NELL-995_all/NL-100/KG-custom/E/descending_size_vocab.pkl,4,16,18,18,True
NL-100,Vocabularies/NELL-995_all/NL-100/KG-custom/E/ascending_size_vocab.pkl,1,27,22,20,False
NL-100,Vocabularies/NELL-995_all/NL-100/KG-custom/E/ascending_size_vocab.pkl,2,20,18,18,False
